,date,new_cases
261,2020-03-02,0
276,2020-03-03,1
293,2020-03-04,9
313,2020-03-05,11
338,2020-03-06,22
369,2020-03-07,45
404,2020-03-08,17
440,2020-03-09,36
478,2020-03-10,31
521,2020-03-11,44
568,2020-03-12,109
618,2020-03-13,95
669,2020-03-14,189
722,2020-03-15,122
775,2020-03-16,218
828,2020-03-17,425
882,2020-03-18,1012
936,2020-03-19,1774
990,2020-03-20,2952
1044,2020-03-21,3258
1098,2020-03-22,4817
1152,2020-03-23,5711
1206,2020-03-24,4805
1260,2020-03-25,7413
1314,2020-03-26,5941
1368,2020-03-27,5688
1422,2020-03-28,8771
1477,2020-03-29,6266
1532,2020-03-30,7721
1587,2020-03-31,8707
1642,2020-04-01,8153
1697,2020-04-02,8996
1752,2020-04-03,10329
1807,2020-04-04,12274
1862,2020-04-05,8122
1917,2020-04-06,9304
1972,2020-04-07,8314
2027,2020-04-08,9568
2082,2020-04-09,10765
2137,2020-04-10,10794
2192,2020-04-11,10160
2247,2020-04-12,8435
2302,2020-04-13,6548
2357,2020-04-14,7402
2412,2020-04-15,11755
2467,2020-04-16,8631
2522,2020-04-17,7532
2577,2020-04-18,7249
2632,2020-04-19,6199
2687,2020-04-20,4867
2742,2020-04-21,4324
2797,2020-04-22,5659
2852,2020-04-23,6341
2907,2020-04-24,8286
2962,2020-04-25,10683
3017,2020-04-26,6013
3072,2020-04-27,4077
3127,2020-04-28,3285
3182,2020-04-29,4718
3237,2020-04-30,4702
3292,2020-05-01,3879
3347,2020-05-02,4559
3402,2020-05-03,3699
3457,2020-05-04,2524
3512,2020-05-05,2302
3567,2020-05-06,2746
3622,2020-05-07,3526
3677,2020-05-08,2873
3732,2020-05-09,2715
3787,2020-05-10,2138
3842,2020-05-11,1610
3897,2020-05-12,1438
3952,2020-05-13,2123
4007,2020-05-14,2364
4062,2020-05-15,2759
4117,2020-05-16,2185
4172,2020-05-17,1901
4227,2020-05-18,1241
4282,2020-05-19,1479
4337,2020-05-20,1478
4392,2020-05-21,2078
4447,2020-05-22,1678
4502,2020-05-23,1754
4557,2020-05-24,1601
4612,2020-05-25,1279
4667,2020-05-26,1044
4722,2020-05-27,1132
4777,2020-05-28,1758
4832,2020-05-29,1549
4887,2020-05-30,1363
4942,2020-05-31,1104
4997,2020-06-01,945
5052,2020-06-02,1361
5107,2020-06-03,1043
5162,2020-06-04,1053
5217,2020-06-05,1042
5272,2020-06-06,1083
5327,2020-06-07,777
5382,2020-06-08,712
5437,2020-06-09,690
5492,2020-06-10,664
5547,2020-06-11,724
5602,2020-06-12,821
5657,2020-06-13,912
5712,2020-06-14,694
5767,2020-06-15,623
5822,2020-06-16,630
5877,2020-06-17,561
5932,2020-06-18,626
5987,2020-06-19,794
6042,2020-06-20,707
6097,2020-06-21,665
6152,2020-06-22,555
6207,2020-06-23,598
6262,2020-06-24,575
6317,2020-06-25,738
6372,2020-06-26,804
6427,2020-06-27,697
6482,2020-06-28,624
6537,2020-06-29,391
6592,2020-06-30,458
6647,2020-07-01,628
6702,2020-07-02,872
6757,2020-07-03,919
6812,2020-07-04,725
6867,2020-07-05,536
6922,2020-07-06,516
6977,2020-07-07,590
7032,2020-07-08,691
7087,2020-07-09,588
7142,2020-07-10,790
7197,2020-07-11,727
7252,2020-07-12,679
7307,2020-07-13,559
7362,2020-07-14,913
7417,2020-07-15,834
7472,2020-07-16,767
7527,2020-07-17,778
7582,2020-07-18,752
7637,2020-07-19,509
7692,2020-07-20,519
7747,2020-07-21,855
7802,2020-07-22,706
7857,2020-07-23,810
7912,2020-07-24,758
7967,2020-07-25,748
8022,2020-07-26,532
8077,2020-07-27,613
8132,2020-07-28,535
8187,2020-07-29,711
8242,2020-07-30,779
8297,2020-07-31,642
8352,2020-08-01,754
8407,2020-08-02,531
8462,2020-08-03,542
8517,2020-08-04,746
8572,2020-08-05,639
8627,2020-08-06,694
8682,2020-08-07,720
8737,2020-08-08,706
8792,2020-08-09,513
8847,2020-08-10,478
8902,2020-08-11,667
8957,2020-08-12,706
9012,2020-08-13,736
9067,2020-08-14,724
9122,2020-08-15,738
9177,2020-08-16,609
9232,2020-08-17,410
9287,2020-08-18,662
9342,2020-08-19,626
9397,2020-08-20,599
9452,2020-08-21,707
9507,2020-08-22,651
9562,2020-08-23,581
9617,2020-08-24,404
9672,2020-08-25,629
9727,2020-08-26,568
9782,2020-08-27,789
9837,2020-08-28,635
9892,2020-08-29,635
9947,2020-08-30,709
10002,2020-08-31,649
10057,2020-09-01,757
10112,2020-09-02,710
10167,2020-09-03,888
10222,2020-09-04,863
10277,2020-09-05,799
10332,2020-09-06,729
10387,2020-09-07,525
10442,2020-09-08,557
10497,2020-09-09,573
10552,2020-09-10,756
10607,2020-09-11,861
10662,2020-09-12,849
10717,2020-09-13,725
10772,2020-09-14,586
10827,2020-09-15,767
10882,2020-09-16,653
10937,2020-09-17,893
10992,2020-09-18,793
11047,2020-09-19,983
11102,2020-09-20,865
11157,2020-09-21,575
11212,2020-09-22,751
11267,2020-09-23,666
11322,2020-09-24,953
11377,2020-09-25,909
11432,2020-09-26,1006
11487,2020-09-27,868
11542,2020-09-28,836
11597,2020-09-29,1188
11652,2020-09-30,1005
11707,2020-10-01,1383
11762,2020-10-02,1601
11817,2020-10-03,1728
11872,2020-10-04,1226
11927,2020-10-05,937
11982,2020-10-06,1394
12037,2020-10-07,1356
12092,2020-10-08,1835
12147,2020-10-09,1593
12202,2020-10-10,1448
12257,2020-10-11,1143
12312,2020-10-12,1032
12367,2020-10-13,1391
12422,2020-10-14,1235
12477,2020-10-15,1464
12532,2020-10-16,1703
12587,2020-10-17,1788
12642,2020-10-18,1390
12697,2020-10-19,999
12752,2020-10-20,1201
12807,2020-10-21,2029
12862,2020-10-22,1629
12917,2020-10-23,1636
12972,2020-10-24,2058
13027,2020-10-25,1633
13082,2020-10-26,1192
13137,2020-10-27,1994
13192,2020-10-28,2029
13247,2020-10-29,2497
13302,2020-10-30,2258
13357,2020-10-31,2052
13412,2020-11-01,2259
13467,2020-11-02,1632
13522,2020-11-03,2317
13577,2020-11-04,2126
13632,2020-11-05,3002
13687,2020-11-06,3208
13742,2020-11-07,3587
13797,2020-11-08,3430
13852,2020-11-09,3149
13907,2020-11-10,3964
13962,2020-11-11,4821
14017,2020-11-12,4798
